file_name,model_name,rush_precision,rush_recall,rush_f1_score,rush_support,pass_precision,pass_recall,pass_f1_score,pass_support,accuracy,macro_precision,macro_recall,macro_f1_score,weighted_precision,weighted_recall,weighted_f1_score,config
output/2025-04-24_01-31-22.txt,GNN,0.74,0.84,0.78,1221,0.81,0.70,0.75,1221,0.77,0.77,0.77,0.77,0.77,0.77,0.77,"{""RANDOM_SEED"": 1, ""GNN_EPOCHS"": 300, ""GNN_HIDDEN_CHANNELS"": 64, ""GNN_HIDDEN_LAYERS"": 3, ""GNN_LEARNING_RATE"": 0.0001, ""GNN_DROPOUT"": 0.4, ""GNN_WEIGHT_DECAY"": 0.005, ""RF_ESTIMATORS"": 50, ""MLP_HIDDEN_CHANNELS"": 128, ""MLP_HIDDEN_LAYERS"": 2, ""MLP_MAX_ITER"": 3000, ""MLP_LEARNING_RATE"": 0.01, ""MLP_ALPHA"": 0.005, ""DATASET_SPLIT"": 0.8, ""SHOW_INFO"": True}"
output/2025-04-24_01-31-22.txt,RF,0.71,0.78,0.74,1221,0.76,0.69,0.72,1221,0.7326,0.73,0.73,0.73,0.73,0.73,0.73,"{""RANDOM_SEED"": 1, ""GNN_EPOCHS"": 300, ""GNN_HIDDEN_CHANNELS"": 64, ""GNN_HIDDEN_LAYERS"": 3, ""GNN_LEARNING_RATE"": 0.0001, ""GNN_DROPOUT"": 0.4, ""GNN_WEIGHT_DECAY"": 0.005, ""RF_ESTIMATORS"": 50, ""MLP_HIDDEN_CHANNELS"": 128, ""MLP_HIDDEN_LAYERS"": 2, ""MLP_MAX_ITER"": 3000, ""MLP_LEARNING_RATE"": 0.01, ""MLP_ALPHA"": 0.005, ""DATASET_SPLIT"": 0.8, ""SHOW_INFO"": True}"
output/2025-04-24_01-31-22.txt,MLP,0.69,0.71,0.70,1221,0.70,0.68,0.69,1221,0.6912,0.69,0.69,0.69,0.69,0.69,0.69,"{""RANDOM_SEED"": 1, ""GNN_EPOCHS"": 300, ""GNN_HIDDEN_CHANNELS"": 64, ""GNN_HIDDEN_LAYERS"": 3, ""GNN_LEARNING_RATE"": 0.0001, ""GNN_DROPOUT"": 0.4, ""GNN_WEIGHT_DECAY"": 0.005, ""RF_ESTIMATORS"": 50, ""MLP_HIDDEN_CHANNELS"": 128, ""MLP_HIDDEN_LAYERS"": 2, ""MLP_MAX_ITER"": 3000, ""MLP_LEARNING_RATE"": 0.01, ""MLP_ALPHA"": 0.005, ""DATASET_SPLIT"": 0.8, ""SHOW_INFO"": True}"
output/2025-04-24_08-35-39.txt,GNN,0.66,0.67,0.66,1221,0.66,0.65,0.66,1221,0.66,0.66,0.66,0.66,0.66,0.66,0.66,"{""RANDOM_SEED"": 1, ""GNN_EPOCHS"": 100, ""GNN_HIDDEN_CHANNELS"": 128, ""GNN_HIDDEN_LAYERS"": 1, ""GNN_LEARNING_RATE"": 0.0001, ""GNN_DROPOUT"": 0.2, ""GNN_WEIGHT_DECAY"": 0.0005, ""RF_ESTIMATORS"": 100, ""MLP_HIDDEN_CHANNELS"": 64, ""MLP_HIDDEN_LAYERS"": 3, ""MLP_MAX_ITER"": 3000, ""MLP_LEARNING_RATE"": 0.001, ""MLP_ALPHA"": 0.005, ""DATASET_SPLIT"": 0.8, ""SHOW_INFO"": True}"
output/2025-04-24_08-35-39.txt,RF,0.72,0.78,0.75,1221,0.76,0.70,0.73,1221,0.7387,0.74,0.74,0.74,0.74,0.74,0.74,"{""RANDOM_SEED"": 1, ""GNN_EPOCHS"": 100, ""GNN_HIDDEN_CHANNELS"": 128, ""GNN_HIDDEN_LAYERS"": 1, ""GNN_LEARNING_RATE"": 0.0001, ""GNN_DROPOUT"": 0.2, ""GNN_WEIGHT_DECAY"": 0.0005, ""RF_ESTIMATORS"": 100, ""MLP_HIDDEN_CHANNELS"": 64, ""MLP_HIDDEN_LAYERS"": 3, ""MLP_MAX_ITER"": 3000, ""MLP_LEARNING_RATE"": 0.001, ""MLP_ALPHA"": 0.005, ""DATASET_SPLIT"": 0.8, ""SHOW_INFO"": True}"
output/2025-04-24_08-35-39.txt,MLP,0.68,0.67,0.67,1221,0.67,0.68,0.68,1221,0.6732,0.67,0.67,0.67,0.67,0.67,0.67,"{""RANDOM_SEED"": 1, ""GNN_EPOCHS"": 100, ""GNN_HIDDEN_CHANNELS"": 128, ""GNN_HIDDEN_LAYERS"": 1, ""GNN_LEARNING_RATE"": 0.0001, ""GNN_DROPOUT"": 0.2, ""GNN_WEIGHT_DECAY"": 0.0005, ""RF_ESTIMATORS"": 100, ""MLP_HIDDEN_CHANNELS"": 64, ""MLP_HIDDEN_LAYERS"": 3, ""MLP_MAX_ITER"": 3000, ""MLP_LEARNING_RATE"": 0.001, ""MLP_ALPHA"": 0.005, ""DATASET_SPLIT"": 0.8, ""SHOW_INFO"": True}"
output/2025-04-24_08-39-22.txt,GNN,0.64,0.68,0.66,1221,0.66,0.61,0.63,1221,0.65,0.65,0.65,0.65,0.65,0.65,0.65,"{""RANDOM_SEED"": 2, ""GNN_EPOCHS"": 100, ""GNN_HIDDEN_CHANNELS"": 32, ""GNN_HIDDEN_LAYERS"": 1, ""GNN_LEARNING_RATE"": 0.0001, ""GNN_DROPOUT"": 0.3, ""GNN_WEIGHT_DECAY"": 5e-05, ""RF_ESTIMATORS"": 150, ""MLP_HIDDEN_CHANNELS"": 64, ""MLP_HIDDEN_LAYERS"": 2, ""MLP_MAX_ITER"": 3000, ""MLP_LEARNING_RATE"": 0.0001, ""MLP_ALPHA"": 0.005, ""DATASET_SPLIT"": 0.8, ""SHOW_INFO"": True}"
output/2025-04-24_08-39-22.txt,RF,0.71,0.77,0.74,1221,0.75,0.69,0.72,1221,0.7326,0.73,0.73,0.73,0.73,0.73,0.73,"{""RANDOM_SEED"": 2, ""GNN_EPOCHS"": 100, ""GNN_HIDDEN_CHANNELS"": 32, ""GNN_HIDDEN_LAYERS"": 1, ""GNN_LEARNING_RATE"": 0.0001, ""GNN_DROPOUT"": 0.3, ""GNN_WEIGHT_DECAY"": 5e-05, ""RF_ESTIMATORS"": 150, ""MLP_HIDDEN_CHANNELS"": 64, ""MLP_HIDDEN_LAYERS"": 2, ""MLP_MAX_ITER"": 3000, ""MLP_LEARNING_RATE"": 0.0001, ""MLP_ALPHA"": 0.005, ""DATASET_SPLIT"": 0.8, ""SHOW_INFO"": True}"
output/2025-04-24_08-39-22.txt,MLP,0.69,0.69,0.69,1221,0.69,0.70,0.69,1221,0.6929,0.69,0.69,0.69,0.69,0.69,0.69,"{""RANDOM_SEED"": 2, ""GNN_EPOCHS"": 100, ""GNN_HIDDEN_CHANNELS"": 32, ""GNN_HIDDEN_LAYERS"": 1, ""GNN_LEARNING_RATE"": 0.0001, ""GNN_DROPOUT"": 0.3, ""GNN_WEIGHT_DECAY"": 5e-05, ""RF_ESTIMATORS"": 150, ""MLP_HIDDEN_CHANNELS"": 64, ""MLP_HIDDEN_LAYERS"": 2, ""MLP_MAX_ITER"": 3000, ""MLP_LEARNING_RATE"": 0.0001, ""MLP_ALPHA"": 0.005, ""DATASET_SPLIT"": 0.8, ""SHOW_INFO"": True}"
output/2025-04-24_08-44-23.txt,GNN,0.76,0.81,0.78,1221,0.80,0.74,0.77,1221,0.78,0.78,0.78,0.78,0.78,0.78,0.78,"{""RANDOM_SEED"": 3, ""GNN_EPOCHS"": 100, ""GNN_HIDDEN_CHANNELS"": 128, ""GNN_HIDDEN_LAYERS"": 3, ""GNN_LEARNING_RATE"": 0.001, ""GNN_DROPOUT"": 0.4, ""GNN_WEIGHT_DECAY"": 5e-05, ""RF_ESTIMATORS"": 100, ""MLP_HIDDEN_CHANNELS"": 128, ""MLP_HIDDEN_LAYERS"": 3, ""MLP_MAX_ITER"": 3000, ""MLP_LEARNING_RATE"": 0.01, ""MLP_ALPHA"": 5e-05, ""DATASET_SPLIT"": 0.8, ""SHOW_INFO"": True}"
output/2025-04-24_08-44-23.txt,RF,0.72,0.78,0.75,1221,0.76,0.70,0.73,1221,0.7375,0.74,0.74,0.74,0.74,0.74,0.74,"{""RANDOM_SEED"": 3, ""GNN_EPOCHS"": 100, ""GNN_HIDDEN_CHANNELS"": 128, ""GNN_HIDDEN_LAYERS"": 3, ""GNN_LEARNING_RATE"": 0.001, ""GNN_DROPOUT"": 0.4, ""GNN_WEIGHT_DECAY"": 5e-05, ""RF_ESTIMATORS"": 100, ""MLP_HIDDEN_CHANNELS"": 128, ""MLP_HIDDEN_LAYERS"": 3, ""MLP_MAX_ITER"": 3000, ""MLP_LEARNING_RATE"": 0.01, ""MLP_ALPHA"": 5e-05, ""DATASET_SPLIT"": 0.8, ""SHOW_INFO"": True}"
output/2025-04-24_08-44-23.txt,MLP,0.66,0.69,0.67,1221,0.67,0.65,0.66,1221,0.6691,0.67,0.67,0.67,0.67,0.67,0.67,"{""RANDOM_SEED"": 3, ""GNN_EPOCHS"": 100, ""GNN_HIDDEN_CHANNELS"": 128, ""GNN_HIDDEN_LAYERS"": 3, ""GNN_LEARNING_RATE"": 0.001, ""GNN_DROPOUT"": 0.4, ""GNN_WEIGHT_DECAY"": 5e-05, ""RF_ESTIMATORS"": 100, ""MLP_HIDDEN_CHANNELS"": 128, ""MLP_HIDDEN_LAYERS"": 3, ""MLP_MAX_ITER"": 3000, ""MLP_LEARNING_RATE"": 0.01, ""MLP_ALPHA"": 5e-05, ""DATASET_SPLIT"": 0.8, ""SHOW_INFO"": True}"
output/2025-04-24_09-24-31.txt,GNN,0.56,0.61,0.59,1221,0.58,0.53,0.55,1221,0.57,0.57,0.57,0.57,0.57,0.57,0.57,"{""RANDOM_SEED"": 4, ""GNN_EPOCHS"": 100, ""GNN_HIDDEN_CHANNELS"": 64, ""GNN_HIDDEN_LAYERS"": 1, ""GNN_LEARNING_RATE"": 1e-05, ""GNN_DROPOUT"": 0.5, ""GNN_WEIGHT_DECAY"": 0.0005, ""RF_ESTIMATORS"": 50, ""MLP_HIDDEN_CHANNELS"": 32, ""MLP_HIDDEN_LAYERS"": 1, ""MLP_MAX_ITER"": 3000, ""MLP_LEARNING_RATE"": 0.01, ""MLP_ALPHA"": 0.0005, ""DATASET_SPLIT"": 0.8, ""SHOW_INFO"": True}"
output/2025-04-24_09-24-31.txt,RF,0.71,0.79,0.75,1221,0.76,0.68,0.72,1221,0.7314,0.73,0.73,0.73,0.73,0.73,0.73,"{""RANDOM_SEED"": 4, ""GNN_EPOCHS"": 100, ""GNN_HIDDEN_CHANNELS"": 64, ""GNN_HIDDEN_LAYERS"": 1, ""GNN_LEARNING_RATE"": 1e-05, ""GNN_DROPOUT"": 0.5, ""GNN_WEIGHT_DECAY"": 0.0005, ""RF_ESTIMATORS"": 50, ""MLP_HIDDEN_CHANNELS"": 32, ""MLP_HIDDEN_LAYERS"": 1, ""MLP_MAX_ITER"": 3000, ""MLP_LEARNING_RATE"": 0.01, ""MLP_ALPHA"": 0.0005, ""DATASET_SPLIT"": 0.8, ""SHOW_INFO"": True}"
output/2025-04-24_09-24-31.txt,MLP,0.73,0.73,0.73,1221,0.73,0.73,0.73,1221,0.7326,0.73,0.73,0.73,0.73,0.73,0.73,"{""RANDOM_SEED"": 4, ""GNN_EPOCHS"": 100, ""GNN_HIDDEN_CHANNELS"": 64, ""GNN_HIDDEN_LAYERS"": 1, ""GNN_LEARNING_RATE"": 1e-05, ""GNN_DROPOUT"": 0.5, ""GNN_WEIGHT_DECAY"": 0.0005, ""RF_ESTIMATORS"": 50, ""MLP_HIDDEN_CHANNELS"": 32, ""MLP_HIDDEN_LAYERS"": 1, ""MLP_MAX_ITER"": 3000, ""MLP_LEARNING_RATE"": 0.01, ""MLP_ALPHA"": 0.0005, ""DATASET_SPLIT"": 0.8, ""SHOW_INFO"": True}"
output/2025-04-24_09-27-48.txt,GNN,0.78,0.72,0.75,1221,0.74,0.80,0.77,1221,0.76,0.76,0.76,0.76,0.76,0.76,0.76,"{""RANDOM_SEED"": 5, ""GNN_EPOCHS"": 300, ""GNN_HIDDEN_CHANNELS"": 64, ""GNN_HIDDEN_LAYERS"": 3, ""GNN_LEARNING_RATE"": 0.0001, ""GNN_DROPOUT"": 0.2, ""GNN_WEIGHT_DECAY"": 0.0005, ""RF_ESTIMATORS"": 50, ""MLP_HIDDEN_CHANNELS"": 128, ""MLP_HIDDEN_LAYERS"": 1, ""MLP_MAX_ITER"": 3000, ""MLP_LEARNING_RATE"": 0.01, ""MLP_ALPHA"": 0.005, ""DATASET_SPLIT"": 0.8, ""SHOW_INFO"": True}"
output/2025-04-24_09-27-48.txt,RF,0.73,0.75,0.74,1221,0.73,0.71,0.72,1221,0.731,0.73,0.73,0.73,0.73,0.73,0.73,"{""RANDOM_SEED"": 5, ""GNN_EPOCHS"": 300, ""GNN_HIDDEN_CHANNELS"": 64, ""GNN_HIDDEN_LAYERS"": 3, ""GNN_LEARNING_RATE"": 0.0001, ""GNN_DROPOUT"": 0.2, ""GNN_WEIGHT_DECAY"": 0.0005, ""RF_ESTIMATORS"": 50, ""MLP_HIDDEN_CHANNELS"": 128, ""MLP_HIDDEN_LAYERS"": 1, ""MLP_MAX_ITER"": 3000, ""MLP_LEARNING_RATE"": 0.01, ""MLP_ALPHA"": 0.005, ""DATASET_SPLIT"": 0.8, ""SHOW_INFO"": True}"
output/2025-04-24_09-27-48.txt,MLP,0.74,0.74,0.74,1221,0.74,0.74,0.74,1221,0.7412,0.74,0.74,0.74,0.74,0.74,0.74,"{""RANDOM_SEED"": 5, ""GNN_EPOCHS"": 300, ""GNN_HIDDEN_CHANNELS"": 64, ""GNN_HIDDEN_LAYERS"": 3, ""GNN_LEARNING_RATE"": 0.0001, ""GNN_DROPOUT"": 0.2, ""GNN_WEIGHT_DECAY"": 0.0005, ""RF_ESTIMATORS"": 50, ""MLP_HIDDEN_CHANNELS"": 128, ""MLP_HIDDEN_LAYERS"": 1, ""MLP_MAX_ITER"": 3000, ""MLP_LEARNING_RATE"": 0.01, ""MLP_ALPHA"": 0.005, ""DATASET_SPLIT"": 0.8, ""SHOW_INFO"": True}"
output/2025-04-24_10-09-17.txt,GNN,0.73,0.70,0.71,1221,0.78,0.70,0.74,1221,0.75,0.75,0.75,0.75,0.75,0.75,0.75,"{""RANDOM_SEED"": 6, ""GNN_EPOCHS"": 300, ""GNN_HIDDEN_CHANNELS"": 32, ""GNN_HIDDEN_LAYERS"": 2, ""GNN_LEARNING_RATE"": 0.0001, ""GNN_DROPOUT"": 0.2, ""GNN_WEIGHT_DECAY"": 0.005, ""RF_ESTIMATORS"": 50, ""MLP_HIDDEN_CHANNELS"": 128, ""MLP_HIDDEN_LAYERS"": 3, ""MLP_MAX_ITER"": 3000, ""MLP_LEARNING_RATE"": 0.001, ""MLP_ALPHA"": 5e-05, ""DATASET_SPLIT"": 0.8, ""SHOW_INFO"": True}"
output/2025-04-24_10-09-17.txt,RF,0.73,0.81,0.77,1221,0.78,0.70,0.74,1221,0.7383,0.74,0.74,0.74,0.74,0.74,0.74,"{""RANDOM_SEED"": 6, ""GNN_EPOCHS"": 300, ""GNN_HIDDEN_CHANNELS"": 32, ""GNN_HIDDEN_LAYERS"": 2, ""GNN_LEARNING_RATE"": 0.0001, ""GNN_DROPOUT"": 0.2, ""GNN_WEIGHT_DECAY"": 0.005, ""RF_ESTIMATORS"": 50, ""MLP_HIDDEN_CHANNELS"": 128, ""MLP_HIDDEN_LAYERS"": 3, ""MLP_MAX_ITER"": 3000, ""MLP_LEARNING_RATE"": 0.001, ""MLP_ALPHA"": 5e-05, ""DATASET_SPLIT"": 0.8, ""SHOW_INFO"": True}"
output/2025-04-24_10-09-17.txt,MLP,0.74,0.76,0.75,1221,0.76,0.74,0.75,1221,0.7471,0.75,0.75,0.75,0.75,0.75,0.75,"{""RANDOM_SEED"": 6, ""GNN_EPOCHS"": 300, ""GNN_HIDDEN_CHANNELS"": 32, ""GNN_HIDDEN_LAYERS"": 2, ""GNN_LEARNING_RATE"": 0.0001, ""GNN_DROPOUT"": 0.2, ""GNN_WEIGHT_DECAY"": 0.005, ""RF_ESTIMATORS"": 50, ""MLP_HIDDEN_CHANNELS"": 128, ""MLP_HIDDEN_LAYERS"": 3, ""MLP_MAX_ITER"": 3000, ""MLP_LEARNING_RATE"": 0.001, ""MLP_ALPHA"": 5e-05, ""DATASET_SPLIT"": 0.8, ""SHOW_INFO"": True}"
output/2025-04-24_10-25-56.txt,GNN,0.60,0.73,0.66,1221,0.66,0.51,0.58,1221,0.62,0.63,0.62,0.62,0.63,0.62,0.62,"{""RANDOM_SEED"": 7, ""GNN_EPOCHS"": 200, ""GNN_HIDDEN_CHANNELS"": 32, ""GNN_HIDDEN_LAYERS"": 2, ""GNN_LEARNING_RATE"": 1e-05, ""GNN_DROPOUT"": 0.2, ""GNN_WEIGHT_DECAY"": 0.005, ""RF_ESTIMATORS"": 150, ""MLP_HIDDEN_CHANNELS"": 32, ""MLP_HIDDEN_LAYERS"": 2, ""MLP_MAX_ITER"": 3000, ""MLP_LEARNING_RATE"": 0.0001, ""MLP_ALPHA"": 0.005, ""DATASET_SPLIT"": 0.8, ""SHOW_INFO"": True}"
output/2025-04-24_10-25-56.txt,RF,0.72,0.78,0.75,1221,0.76,0.70,0.73,1221,0.74,0.74,0.74,0.74,0.74,0.74,0.74,"{""RANDOM_SEED"": 7, ""GNN_EPOCHS"": 200, ""GNN_HIDDEN_CHANNELS"": 32, ""GNN_HIDDEN_LAYERS"": 2, ""GNN_LEARNING_RATE"": 1e-05, ""GNN_DROPOUT"": 0.2, ""GNN_WEIGHT_DECAY"": 0.005, ""RF_ESTIMATORS"": 150, ""MLP_HIDDEN_CHANNELS"": 32, ""MLP_HIDDEN_LAYERS"": 2, ""MLP_MAX_ITER"": 3000, ""MLP_LEARNING_RATE"": 0.0001, ""MLP_ALPHA"": 0.005, ""DATASET_SPLIT"": 0.8, ""SHOW_INFO"": True}"
